method,sweeps,n,success_rate,safe_action_rate,portal_action_rate,regret,pred_safe,pred_portal,long_horizon_mse
Bellman,1,5,0.048,0.000,1.000,0.028,0.000,0.049,0.24026
Bellman,2,5,0.048,0.000,1.000,0.028,0.028,0.049,0.24026
Bellman,4,5,0.048,0.000,1.000,0.028,0.028,0.049,0.24026
Bellman,8,5,0.048,0.000,1.000,0.028,0.028,0.049,0.22757
Bellman,16,5,0.048,0.000,1.000,0.028,0.028,0.049,0.19030
Bellman,32,5,0.048,0.000,1.000,0.028,0.028,0.049,0.14918
Bellman,64,5,0.048,0.000,1.000,0.028,0.028,0.049,0.12321
Bellman,96,5,0.048,0.000,1.000,0.028,0.028,0.049,0.11884
Bellman,120,5,0.048,0.000,1.000,0.028,0.028,0.049,0.11841
Bellman,126,5,1.000,1.000,0.000,0.000,0.077,0.049,0.11840
Bellman,127,5,1.000,1.000,0.000,0.000,0.077,0.049,0.11840
Bellman,128,5,1.000,1.000,0.000,0.000,0.077,0.049,0.11840
Stochastic TRL,1,5,0.048,0.000,1.000,0.028,0.000,0.049,0.24026
Stochastic TRL,2,5,0.048,0.000,1.000,0.028,0.028,0.049,0.24026
Stochastic TRL,4,5,0.048,0.000,1.000,0.028,0.028,0.049,0.19474
Stochastic TRL,6,5,0.048,0.000,1.000,0.028,0.028,0.049,0.12357
Stochastic TRL,7,5,1.000,1.000,0.000,0.000,0.077,0.049,0.11840
Stochastic TRL,8,5,1.000,1.000,0.000,0.000,0.077,0.049,0.11840
