env,episodes_per_task,eval_seed,controller_steps,method,sweeps,mean_success,task1_mean,task2_mean,task3_mean,task4_mean,task5_mean
antmaze-teleport-navigate-v0,20,0,50000,Bellman matched,6,0.360,0.000,0.600,0.500,0.400,0.300
antmaze-teleport-navigate-v0,20,1,50000,Bellman matched,6,0.300,0.000,0.550,0.400,0.350,0.200
antmaze-teleport-navigate-v0,20,2,50000,Bellman matched,6,0.270,0.000,0.350,0.250,0.500,0.250
antmaze-teleport-navigate-v0,20,0,50000,Stochastic TRL,6,0.950,0.950,1.000,0.950,1.000,0.850
antmaze-teleport-navigate-v0,20,1,50000,Stochastic TRL,6,0.940,0.850,1.000,0.950,1.000,0.900
antmaze-teleport-navigate-v0,20,2,50000,Stochastic TRL,6,0.950,0.900,1.000,1.000,0.950,0.900
antmaze-teleport-navigate-v0,20,0,50000,Bellman full,180,0.950,0.950,1.000,0.950,1.000,0.850
antmaze-teleport-navigate-v0,20,1,50000,Bellman full,180,0.940,0.850,1.000,0.950,1.000,0.900
antmaze-teleport-navigate-v0,20,2,50000,Bellman full,180,0.950,0.900,1.000,1.000,0.950,0.900
antmaze-teleport-stitch-v0,20,0,20000,Bellman matched,6,0.380,0.000,0.600,0.500,0.400,0.400
antmaze-teleport-stitch-v0,20,1,20000,Bellman matched,6,0.310,0.000,0.550,0.400,0.350,0.250
antmaze-teleport-stitch-v0,20,2,20000,Bellman matched,6,0.260,0.000,0.250,0.250,0.500,0.300
antmaze-teleport-stitch-v0,20,0,20000,Stochastic TRL,6,0.960,0.950,0.950,1.000,0.950,0.950
antmaze-teleport-stitch-v0,20,1,20000,Stochastic TRL,6,0.960,0.900,0.950,1.000,1.000,0.950
antmaze-teleport-stitch-v0,20,2,20000,Stochastic TRL,6,0.960,0.950,0.950,1.000,0.950,0.950
antmaze-teleport-stitch-v0,20,0,20000,Bellman full,180,0.960,0.950,0.950,1.000,0.950,0.950
antmaze-teleport-stitch-v0,20,1,20000,Bellman full,180,0.960,0.900,0.950,1.000,1.000,0.950
antmaze-teleport-stitch-v0,20,2,20000,Bellman full,180,0.960,0.950,0.950,1.000,0.950,0.950
